Dataset Size,Number of Ants,Alpha,Beta,Evaporation,Q,Iterations,Result
100,30,0.10,1.50,0.90,1,200,3926.0
100,30,0.10,1.50,0.90,3,50,4108.0
100,30,0.10,1.50,0.90,3,100,4020.0
100,30,0.10,1.50,0.90,3,150,3931.0
100,30,0.10,1.50,0.90,3,200,3931.0
100,30,0.10,1.50,0.90,5,50,4108.0
100,30,0.10,1.50,0.90,5,100,4083.0
100,30,0.10,1.50,0.90,5,150,3870.0
100,30,0.10,1.50,0.90,5,200,3870.0
100,30,0.10,1.50,0.90,7,50,4193.0
100,30,0.10,1.50,0.90,7,100,3997.0
100,30,0.10,1.50,0.90,7,150,3917.0
100,30,0.10,1.50,0.90,7,200,3917.0
100,30,0.10,1.50,0.90,9,50,4160.0
100,30,0.10,1.50,0.90,9,100,3936.0
100,30,0.10,1.50,0.90,9,150,3877.0
100,30,0.10,1.50,0.90,9,200,3877.0
100,30,0.10,1.50,0.90,11,50,4135.0
100,30,0.10,1.50,0.90,11,100,3983.0
100,30,0.10,1.50,0.90,11,150,3983.0
100,30,0.10,1.50,0.90,11,200,3937.0
100,30,0.10,1.50,0.90,13,50,3803.0
100,30,0.10,1.50,0.90,13,100,3803.0
100,30,0.10,1.50,0.90,13,150,3803.0
100,30,0.10,1.50,0.90,13,200,3803.0
100,30,0.10,1.50,1.00,1,50,4108.0
100,30,0.10,1.50,1.00,1,100,4108.0
100,30,0.10,1.50,1.00,1,150,4108.0
100,30,0.10,1.50,1.00,1,200,4108.0
100,30,0.10,1.50,1.00,3,50,4108.0
100,30,0.10,1.50,1.00,3,100,4108.0
100,30,0.10,1.50,1.00,3,150,4108.0
100,30,0.10,1.50,1.00,3,200,4108.0
100,30,0.10,1.50,1.00,5,50,4108.0
100,30,0.10,1.50,1.00,5,100,4108.0
100,30,0.10,1.50,1.00,5,150,4094.0
100,30,0.10,1.50,1.00,5,200,4094.0
100,30,0.10,1.50,1.00,7,50,4108.0
100,30,0.10,1.50,1.00,7,100,4108.0
100,30,0.10,1.50,1.00,7,150,4094.0
100,30,0.10,1.50,1.00,7,200,4053.0
100,30,0.10,1.50,1.00,9,50,4193.0
100,30,0.10,1.50,1.00,9,100,4153.0
